Product,Region,Price,Units Sold,Sale Date
,Region_6,75.96,10.0,2022-01-01
,Region_1,175.78,8.0,2022-01-02
Product_46,Region_3,20.43,12.0,2022-01-03
Product_36,Region_1,12.77,10.0,2022-01-04
Product_17,Region_6,125.69,6.0,2022-01-05
Product_45,Region_1,8.63,11.0,2022-01-06
Product_31,Region_3,23.73,6.0,2022-01-07
Product_18,Region_7,19.27,9.0,2022-01-08
Product_16,Region_9,30.7,14.0,2022-01-09
Product_9,Region_2,264.05,7.0,2022-01-10
Product_20,Region_3,,8.0,2022-01-11
Product_1,Region_4,63.04,9.0,2022-01-12
Product_2,Region_3,,6.0,2022-01-13
Product_1,Region_4,10.15,8.0,2022-01-14
Product_3,Region_2,13.77,17.0,2022-01-15
Product_1,Region_2,46.23,11.0,2022-01-16
Product_43,Region_6,68.53,,2022-01-17
Product_17,Region_4,95.78,15.0,2022-01-18
,,276.27,9.0,2022-01-19
Product_33,Region_5,8.17,9.0,2022-01-20
Product_33,Region_6,92.93,10.0,2022-01-21
,,46.1,14.0,2022-01-22
Product_14,Region_8,119.1,11.0,2022-01-23
Product_50,Region_2,249.3,16.0,2022-01-24
Product_6,Region_2,60.41,5.0,2022-01-25
Product_13,Region_9,52.22,9.0,2022-01-26
Product_11,Region_7,41.78,14.0,2022-01-27
,Region_10,193.85,10.0,2022-01-28
Product_27,Region_8,32.03,10.0,2022-01-29
Product_28,Region_8,217.65,9.0,2022-01-30
Product_45,Region_1,106.77,4.0,2022-01-31
Product_50,Region_4,71.66,7.0,2022-02-01
Product_36,Region_3,120.87,12.0,2022-02-02
Product_43,Region_9,38.19,10.0,2022-02-03
Product_1,Region_9,47.9,11.0,2022-02-04
Product_13,Region_5,145.06,5.0,2022-02-05
Product_2,Region_9,296.03,13.0,2022-02-06
Product_24,Region_8,49.1,5.0,2022-02-07
Product_34,Region_2,70.62,13.0,2022-02-08
Product_25,Region_10,77.82,10.0,2022-02-09
Product_4,Region_8,86.58,11.0,2022-02-10
Product_33,Region_9,129.81,7.0,2022-02-11
Product_33,Region_1,49.31,9.0,2022-02-12
Product_35,,112.27,4.0,2022-02-13
Product_28,Region_6,28.67,8.0,2022-02-14
Product_48,Region_5,82.07,8.0,2022-02-15
Product_46,Region_6,37.44,10.0,2022-02-16
Product_10,Region_2,58.5,16.0,2022-02-17
Product_31,Region_4,43.65,8.0,2022-02-18
Product_13,Region_1,101.83,6.0,2022-02-19
Product_48,Region_4,57.35,13.0,2022-02-20
Product_17,Region_5,,12.0,2022-02-21
Product_49,Region_6,292.09,10.0,2022-02-22
Product_3,Region_6,0.54,14.0,2022-02-23
Product_12,,96.49,16.0,2022-02-24
Product_31,Region_3,5.29,13.0,2022-02-25
Product_33,Region_9,134.35,15.0,2022-02-26
,,30.71,12.0,2022-02-27
Product_48,Region_2,18.86,12.0,2022-02-28
Product_12,Region_8,,7.0,2022-03-01
Product_42,Region_10,26.15,4.0,2022-03-02
,Region_4,118.44,9.0,2022-03-03
Product_5,Region_10,71.01,,2022-03-04
Product_33,,,6.0,2022-03-05
Product_37,,26.68,9.0,2022-03-06
Product_18,Region_3,105.4,13.0,2022-03-07
Product_26,Region_9,275.66,7.0,2022-03-08
Product_18,Region_5,121.97,11.0,2022-03-09
Product_8,Region_10,21.17,9.0,2022-03-10
Product_27,Region_6,44.24,8.0,2022-03-11
Product_11,Region_5,57.18,9.0,2022-03-12
Product_17,Region_10,34.16,14.0,2022-03-13
Product_17,Region_3,22.2,9.0,2022-03-14
Product_37,Region_4,97.84,14.0,2022-03-15
,Region_3,34.59,15.0,2022-03-16
Product_27,Region_9,55.57,5.0,2022-03-17
,Region_2,49.33,7.0,2022-03-18
Product_34,Region_1,,6.0,2022-03-19
Product_22,Region_4,,9.0,2022-03-20
Product_32,Region_4,82.52,6.0,2022-03-21
Product_2,Region_2,2.14,7.0,2022-03-22
Product_23,Region_5,9.93,,2022-03-23
Product_5,Region_8,92.09,9.0,2022-03-24
Product_43,,64.13,13.0,2022-03-25
Product_10,Region_10,12.86,6.0,2022-03-26
,Region_8,6.24,14.0,2022-03-27
Product_5,Region_6,44.88,,2022-03-28
Product_35,Region_5,37.99,13.0,2022-03-29
Product_1,Region_2,85.46,10.0,2022-03-30
Product_20,Region_5,40.9,7.0,2022-03-31
Product_48,Region_6,56.17,15.0,2022-04-01
,Region_5,,14.0,2022-04-02
Product_15,Region_6,,11.0,2022-04-03
Product_29,Region_6,87.63,,2022-04-04
Product_13,Region_3,,8.0,2022-04-05
Product_25,Region_6,43.06,8.0,2022-04-06
Product_33,Region_10,97.09,10.0,2022-04-07
Product_44,Region_7,251.53,5.0,2022-04-08
,Region_4,219.76,8.0,2022-04-09
Product_5,Region_7,19.68,,2022-04-10
Product_6,Region_7,96.1,11.0,2022-04-11
Product_44,Region_10,165.09,9.0,2022-04-12
Product_47,Region_3,221.01,12.0,2022-04-13
Product_41,Region_5,117.56,10.0,2022-04-14
Product_24,Region_2,4.22,15.0,2022-04-15
Product_35,Region_3,6.26,15.0,2022-04-16
Product_41,Region_4,37.45,14.0,2022-04-17
Product_49,Region_2,329.37,8.0,2022-04-18
Product_37,Region_6,6.49,12.0,2022-04-19
Product_20,,43.83,9.0,2022-04-20
Product_2,Region_1,29.39,16.0,2022-04-21
Product_24,Region_6,102.03,10.0,2022-04-22
Product_33,Region_3,82.78,11.0,2022-04-23
Product_13,Region_1,56.04,10.0,2022-04-24
Product_35,Region_1,,13.0,2022-04-25
,Region_9,12.57,7.0,2022-04-26
Product_4,Region_7,20.2,13.0,2022-04-27
Product_3,,201.54,16.0,2022-04-28
Product_3,,3.04,10.0,2022-04-29
Product_35,,401.31,16.0,2022-04-30
Product_47,Region_4,24.24,10.0,2022-05-01
Product_25,Region_7,20.04,7.0,2022-05-02
Product_17,Region_2,69.27,13.0,2022-05-03
Product_47,Region_7,,,2022-05-04
Product_37,Region_5,100.65,3.0,2022-05-05
Product_28,,17.55,16.0,2022-05-06
Product_39,Region_6,7.51,7.0,2022-05-07
Product_40,,184.26,11.0,2022-05-08
Product_30,Region_3,131.54,11.0,2022-05-09
Product_23,Region_5,101.19,13.0,2022-05-10
Product_50,Region_5,1.36,,2022-05-11
Product_3,Region_9,79.85,11.0,2022-05-12
Product_39,Region_5,0.37,13.0,2022-05-13
Product_40,Region_5,368.76,7.0,2022-05-14
Product_7,,93.38,,2022-05-15
Product_45,Region_3,28.27,,2022-05-16
Product_15,,59.91,,2022-05-17
Product_24,Region_2,229.23,8.0,2022-05-18
Product_35,Region_4,114.93,14.0,2022-05-19
Product_33,Region_7,176.94,,2022-05-20
Product_1,Region_4,28.61,9.0,2022-05-21
Product_23,,164.78,8.0,2022-05-22
Product_8,Region_10,73.01,,2022-05-23
Product_33,Region_10,22.01,10.0,2022-05-24
Product_36,Region_1,120.62,8.0,2022-05-25
Product_22,Region_9,141.53,,2022-05-26
Product_16,Region_5,5.51,8.0,2022-05-27
Product_21,Region_3,16.54,11.0,2022-05-28
Product_17,Region_6,21.27,11.0,2022-05-29
,Region_1,225.28,11.0,2022-05-30
Product_40,Region_8,126.88,11.0,2022-05-31
Product_39,Region_5,8.33,8.0,2022-06-01
Product_31,Region_7,221.12,7.0,2022-06-02
Product_16,Region_9,8.51,8.0,2022-06-03
Product_33,Region_10,178.98,10.0,2022-06-04
Product_28,Region_8,101.12,6.0,2022-06-05
Product_13,Region_1,3.76,14.0,2022-06-06
Product_42,Region_9,130.44,13.0,2022-06-07
Product_37,Region_9,96.28,,2022-06-08
Product_4,Region_8,2.52,9.0,2022-06-09
Product_48,Region_9,94.85,12.0,2022-06-10
Product_47,Region_9,25.83,14.0,2022-06-11
Product_2,Region_1,102.29,17.0,2022-06-12
Product_32,Region_10,37.93,4.0,2022-06-13
Product_9,Region_8,119.33,9.0,2022-06-14
Product_2,,104.48,8.0,2022-06-15
Product_28,Region_3,157.03,7.0,2022-06-16
Product_28,Region_6,,18.0,2022-06-17
,Region_7,41.6,4.0,2022-06-18
Product_24,Region_6,29.43,7.0,2022-06-19
Product_2,Region_8,26.56,13.0,2022-06-20
Product_38,Region_8,33.85,,2022-06-21
Product_12,Region_3,,11.0,2022-06-22
Product_12,Region_10,7.6,12.0,2022-06-23
Product_36,Region_9,7.14,7.0,2022-06-24
Product_43,Region_7,97.42,11.0,2022-06-25
Product_4,,47.11,6.0,2022-06-26
Product_36,Region_4,43.74,4.0,2022-06-27
Product_23,Region_2,300.82,10.0,2022-06-28
Product_46,Region_1,5.81,8.0,2022-06-29
Product_16,Region_3,9.58,11.0,2022-06-30
Product_6,Region_1,102.7,,2022-07-01
Product_40,Region_9,3.48,7.0,2022-07-02
,Region_3,126.58,6.0,2022-07-03
,,117.23,8.0,2022-07-04
Product_38,Region_9,103.42,9.0,2022-07-05
Product_34,Region_2,310.46,9.0,2022-07-06
,Region_2,100.14,11.0,2022-07-07
Product_45,Region_4,232.26,7.0,2022-07-08
Product_35,Region_1,511.74,10.0,2022-07-09
Product_4,Region_9,165.32,7.0,2022-07-10
Product_41,Region_6,133.13,16.0,2022-07-11
Product_17,Region_5,100.14,,2022-07-12
Product_46,Region_8,155.11,12.0,2022-07-13
Product_38,Region_2,259.52,10.0,2022-07-14
Product_32,,390.63,7.0,2022-07-15
Product_41,Region_10,83.73,8.0,2022-07-16
Product_5,Region_8,178.5,7.0,2022-07-17
Product_32,Region_10,,15.0,2022-07-18
Product_5,Region_2,4.79,14.0,2022-07-19
Product_29,Region_2,151.56,12.0,2022-07-20
Product_24,Region_4,0.22,10.0,2022-07-21
Product_11,,,,2022-07-22
,,134.49,13.0,2022-07-23
Product_13,Region_5,13.85,10.0,2022-07-24
Product_23,Region_9,4.14,12.0,2022-07-25
Product_4,Region_8,146.69,13.0,2022-07-26
Product_4,Region_4,163.61,9.0,2022-07-27
Product_45,Region_7,78.69,8.0,2022-07-28
Product_6,Region_6,,3.0,2022-07-29
Product_40,Region_4,156.99,7.0,2022-07-30
Product_49,Region_9,152.05,8.0,2022-07-31
Product_19,Region_9,50.96,6.0,2022-08-01
Product_1,Region_6,,8.0,2022-08-02
Product_23,,19.91,7.0,2022-08-03
,Region_5,111.57,7.0,2022-08-04
Product_20,Region_2,164.3,,2022-08-05
Product_15,Region_4,38.1,10.0,2022-08-06
Product_50,Region_9,90.42,7.0,2022-08-07
,Region_10,115.61,14.0,2022-08-08
Product_10,Region_5,291.53,12.0,2022-08-09
Product_5,Region_5,50.36,20.0,2022-08-10
Product_22,Region_1,133.03,,2022-08-11
Product_27,Region_7,63.14,,2022-08-12
,Region_8,,7.0,2022-08-13
Product_3,Region_2,97.21,16.0,2022-08-14
Product_41,Region_7,240.3,8.0,2022-08-15
Product_17,Region_6,68.58,14.0,2022-08-16
,Region_9,27.07,5.0,2022-08-17
Product_29,Region_7,1.38,12.0,2022-08-18
Product_14,Region_7,82.42,,2022-08-19
Product_23,Region_3,133.15,6.0,2022-08-20
Product_14,Region_3,104.27,19.0,2022-08-21
,Region_10,65.48,14.0,2022-08-22
Product_34,Region_9,496.61,8.0,2022-08-23
Product_3,,27.62,12.0,2022-08-24
Product_44,Region_1,26.09,5.0,2022-08-25
Product_13,Region_5,129.81,2.0,2022-08-26
Product_9,Region_6,15.78,,2022-08-27
Product_37,Region_8,24.67,11.0,2022-08-28
Product_26,Region_10,178.86,9.0,2022-08-29
,Region_1,41.66,14.0,2022-08-30
Product_43,Region_9,110.84,9.0,2022-08-31
Product_3,Region_9,,7.0,2022-09-01
Product_19,Region_4,280.79,5.0,2022-09-02
Product_12,Region_1,32.51,8.0,2022-09-03
,Region_2,223.0,3.0,2022-09-04
Product_22,Region_4,89.02,7.0,2022-09-05
Product_31,Region_10,143.74,11.0,2022-09-06
Product_18,Region_3,50.13,12.0,2022-09-07
Product_36,Region_6,35.91,10.0,2022-09-08
Product_47,Region_7,99.64,9.0,2022-09-09
Product_18,Region_8,53.08,14.0,2022-09-10
Product_10,Region_4,98.23,10.0,2022-09-11
Product_18,Region_9,23.03,,2022-09-12
,Region_10,67.77,13.0,2022-09-13
Product_11,Region_6,27.16,,2022-09-14
Product_25,Region_10,81.83,14.0,2022-09-15
Product_19,Region_1,111.66,13.0,2022-09-16
Product_45,Region_2,10.63,9.0,2022-09-17
Product_48,Region_5,18.56,12.0,2022-09-18
Product_44,Region_4,51.37,14.0,2022-09-19
Product_31,Region_4,6.47,11.0,2022-09-20
Product_44,Region_9,129.38,8.0,2022-09-21
Product_14,Region_7,517.29,10.0,2022-09-22
Product_1,Region_1,158.05,8.0,2022-09-23
Product_33,Region_9,137.25,6.0,2022-09-24
Product_17,Region_4,148.49,9.0,2022-09-25
Product_39,Region_1,78.13,4.0,2022-09-26
Product_19,Region_4,45.94,10.0,2022-09-27
Product_41,Region_9,48.78,9.0,2022-09-28
Product_35,Region_4,55.12,15.0,2022-09-29
,,,,2022-09-30
Product_43,Region_2,2.41,15.0,2022-10-01
Product_48,Region_7,51.56,13.0,2022-10-02
Product_16,Region_4,433.17,13.0,2022-10-03
Product_48,Region_8,418.24,14.0,2022-10-04
Product_47,Region_9,244.17,8.0,2022-10-05
Product_20,Region_6,58.5,9.0,2022-10-06
Product_35,Region_2,,5.0,2022-10-07
Product_30,Region_7,4.86,11.0,2022-10-08
Product_23,,16.24,15.0,2022-10-09
,Region_8,197.71,9.0,2022-10-10
Product_9,Region_7,190.14,11.0,2022-10-11
Product_43,Region_1,,13.0,2022-10-12
Product_31,Region_4,138.05,13.0,2022-10-13
Product_15,Region_8,103.63,10.0,2022-10-14
Product_22,Region_8,80.64,11.0,2022-10-15
Product_5,Region_4,239.58,15.0,2022-10-16
Product_2,Region_3,242.77,7.0,2022-10-17
Product_27,Region_4,125.66,9.0,2022-10-18
Product_33,Region_9,25.62,10.0,2022-10-19
Product_29,,259.68,12.0,2022-10-20
Product_22,Region_2,493.2,,2022-10-21
Product_10,Region_4,72.41,15.0,2022-10-22
Product_13,Region_1,17.0,16.0,2022-10-23
Product_43,Region_1,113.27,12.0,2022-10-24
Product_49,Region_7,48.28,13.0,2022-10-25
Product_9,Region_3,96.94,10.0,2022-10-26
Product_50,Region_3,51.82,14.0,2022-10-27
Product_32,Region_4,,9.0,2022-10-28
,Region_2,133.75,,2022-10-29
Product_39,,210.36,6.0,2022-10-30
Product_14,,87.21,7.0,2022-10-31
Product_24,,6.48,10.0,2022-11-01
,Region_6,26.27,7.0,2022-11-02
Product_44,Region_6,,8.0,2022-11-03
,Region_8,,5.0,2022-11-04
Product_38,Region_5,42.8,11.0,2022-11-05
Product_33,,43.42,11.0,2022-11-06
Product_39,,154.74,,2022-11-07
Product_12,Region_6,,12.0,2022-11-08
Product_1,Region_3,,10.0,2022-11-09
Product_17,Region_5,273.6,9.0,2022-11-10
Product_38,Region_10,33.79,7.0,2022-11-11
Product_5,Region_3,264.72,2.0,2022-11-12
Product_18,Region_9,63.53,5.0,2022-11-13
,,39.33,12.0,2022-11-14
Product_45,Region_2,29.0,9.0,2022-11-15
Product_21,Region_1,110.59,14.0,2022-11-16
Product_39,Region_6,124.03,9.0,2022-11-17
Product_45,Region_10,42.71,11.0,2022-11-18
Product_35,Region_1,,3.0,2022-11-19
Product_29,Region_9,275.45,11.0,2022-11-20
Product_23,Region_5,61.26,9.0,2022-11-21
Product_50,Region_1,37.33,14.0,2022-11-22
Product_13,Region_6,158.56,9.0,2022-11-23
Product_27,Region_7,6.05,13.0,2022-11-24
Product_48,Region_2,17.09,10.0,2022-11-25
Product_43,Region_10,92.83,12.0,2022-11-26
Product_47,Region_10,79.47,7.0,2022-11-27
,Region_4,130.26,13.0,2022-11-28
Product_21,Region_1,52.59,4.0,2022-11-29
Product_20,Region_7,149.51,9.0,2022-11-30
Product_30,Region_1,24.03,,2022-12-01
Product_5,Region_6,11.64,6.0,2022-12-02
Product_6,Region_8,23.79,,2022-12-03
Product_35,Region_6,64.24,10.0,2022-12-04
Product_30,Region_3,186.36,,2022-12-05
Product_6,Region_10,101.88,13.0,2022-12-06
,Region_1,36.82,,2022-12-07
Product_41,Region_8,37.7,12.0,2022-12-08
Product_24,Region_7,177.75,16.0,2022-12-09
Product_13,Region_8,229.95,,2022-12-10
Product_36,Region_2,234.01,11.0,2022-12-11
Product_7,Region_2,99.32,10.0,2022-12-12
,Region_6,68.42,11.0,2022-12-13
Product_9,Region_5,0.31,9.0,2022-12-14
Product_40,Region_9,321.66,11.0,2022-12-15
Product_2,Region_3,99.02,4.0,2022-12-16
Product_11,,62.42,10.0,2022-12-17
Product_14,Region_10,133.35,14.0,2022-12-18
Product_19,Region_4,,13.0,2022-12-19
,Region_1,96.82,6.0,2022-12-20
Product_27,Region_10,53.98,14.0,2022-12-21
Product_33,Region_6,53.58,8.0,2022-12-22
Product_15,Region_10,37.14,7.0,2022-12-23
,Region_1,84.19,12.0,2022-12-24
Product_43,,24.46,12.0,2022-12-25
Product_2,Region_2,203.41,9.0,2022-12-26
Product_7,Region_4,,10.0,2022-12-27
Product_11,Region_5,159.91,9.0,2022-12-28
Product_35,Region_1,155.16,,2022-12-29
Product_4,Region_9,137.48,8.0,2022-12-30
Product_13,Region_7,91.82,11.0,2022-12-31
Product_41,Region_3,134.58,12.0,2023-01-01
,Region_10,112.31,10.0,2023-01-02
Product_36,Region_5,,9.0,2023-01-03
Product_5,Region_8,86.47,,2023-01-04
Product_14,,83.68,11.0,2023-01-05
Product_44,Region_7,,17.0,2023-01-06
Product_11,Region_10,8.93,,2023-01-07
Product_34,Region_3,9.21,,2023-01-08
Product_42,Region_5,16.8,8.0,2023-01-09
Product_32,Region_9,27.86,7.0,2023-01-10
Product_10,Region_7,33.68,7.0,2023-01-11
Product_18,Region_4,12.35,9.0,2023-01-12
,Region_1,4.96,10.0,2023-01-13
Product_19,Region_8,210.19,9.0,2023-01-14
Product_39,Region_2,278.04,9.0,2023-01-15
Product_34,Region_3,82.47,12.0,2023-01-16
Product_44,Region_10,26.28,,2023-01-17
Product_38,,50.24,,2023-01-18
Product_18,Region_5,17.85,10.0,2023-01-19
Product_49,Region_4,18.65,11.0,2023-01-20
Product_46,Region_2,116.38,10.0,2023-01-21
Product_26,Region_2,123.27,14.0,2023-01-22
Product_48,,10.21,10.0,2023-01-23
Product_47,Region_10,286.46,7.0,2023-01-24
Product_13,Region_6,44.77,15.0,2023-01-25
Product_41,Region_3,,18.0,2023-01-26
Product_11,Region_6,86.94,8.0,2023-01-27
Product_30,Region_9,100.11,9.0,2023-01-28
Product_1,Region_6,64.53,10.0,2023-01-29
Product_9,Region_3,49.75,14.0,2023-01-30
Product_50,Region_9,148.21,14.0,2023-01-31
Product_42,Region_10,8.51,,2023-02-01
Product_10,Region_9,0.33,3.0,2023-02-02
Product_35,,187.59,8.0,2023-02-03
Product_33,,29.94,7.0,2023-02-04
Product_1,,254.5,,2023-02-05
Product_44,Region_8,192.91,10.0,2023-02-06
Product_40,,6.83,12.0,2023-02-07
Product_13,Region_9,233.62,8.0,2023-02-08
Product_23,Region_7,15.86,15.0,2023-02-09
Product_9,Region_1,53.61,14.0,2023-02-10
Product_29,Region_2,87.89,4.0,2023-02-11
Product_1,Region_5,78.94,16.0,2023-02-12
Product_37,Region_10,89.28,7.0,2023-02-13
,Region_6,4.65,9.0,2023-02-14
Product_21,Region_9,40.88,14.0,2023-02-15
Product_37,Region_9,131.41,11.0,2023-02-16
,Region_10,,9.0,2023-02-17
Product_5,Region_3,63.2,10.0,2023-02-18
Product_44,Region_8,45.42,8.0,2023-02-19
Product_25,Region_10,62.28,7.0,2023-02-20
Product_43,Region_5,175.84,8.0,2023-02-21
Product_2,Region_9,96.34,14.0,2023-02-22
Product_4,Region_10,10.46,12.0,2023-02-23
Product_31,Region_10,153.02,9.0,2023-02-24
Product_49,Region_4,127.18,7.0,2023-02-25
Product_40,Region_4,24.58,9.0,2023-02-26
,Region_3,75.62,9.0,2023-02-27
Product_23,Region_2,94.1,10.0,2023-02-28
Product_1,,49.85,9.0,2023-03-01
Product_7,Region_10,282.46,13.0,2023-03-02
Product_25,Region_9,205.03,4.0,2023-03-03
Product_5,Region_5,95.46,7.0,2023-03-04
Product_22,Region_10,84.82,7.0,2023-03-05
Product_48,Region_8,177.33,14.0,2023-03-06
Product_35,Region_8,164.1,10.0,2023-03-07
Product_34,Region_4,1.39,9.0,2023-03-08
Product_38,Region_3,1.29,9.0,2023-03-09
Product_19,Region_2,7.78,10.0,2023-03-10
Product_43,Region_7,7.34,7.0,2023-03-11
Product_34,Region_6,82.5,6.0,2023-03-12
Product_18,,122.45,,2023-03-13
Product_26,Region_8,585.17,13.0,2023-03-14
Product_5,Region_2,,10.0,2023-03-15
Product_35,Region_7,152.08,12.0,2023-03-16
Product_44,Region_10,102.84,13.0,2023-03-17
Product_28,Region_6,242.26,14.0,2023-03-18
Product_4,Region_5,23.67,,2023-03-19
Product_22,Region_2,119.84,9.0,2023-03-20
Product_35,Region_4,121.33,4.0,2023-03-21
Product_45,Region_9,121.56,9.0,2023-03-22
Product_7,Region_1,,9.0,2023-03-23
Product_3,Region_3,15.05,3.0,2023-03-24
Product_44,Region_5,,14.0,2023-03-25
Product_10,Region_8,22.51,10.0,2023-03-26
Product_43,Region_10,,9.0,2023-03-27
Product_40,Region_3,17.52,11.0,2023-03-28
Product_32,Region_5,118.97,15.0,2023-03-29
Product_42,,50.9,,2023-03-30
Product_4,Region_1,7.9,7.0,2023-03-31
Product_11,Region_5,85.94,13.0,2023-04-01
Product_26,Region_4,0.2,14.0,2023-04-02
Product_26,Region_3,67.47,9.0,2023-04-03
Product_5,Region_8,23.6,7.0,2023-04-04
Product_4,Region_9,106.73,14.0,2023-04-05
,Region_6,45.4,11.0,2023-04-06
Product_33,Region_4,,5.0,2023-04-07
Product_30,Region_7,41.27,,2023-04-08
,Region_9,30.27,13.0,2023-04-09
Product_6,Region_4,16.98,8.0,2023-04-10
,Region_6,1.43,6.0,2023-04-11
Product_16,Region_8,168.1,9.0,2023-04-12
Product_1,Region_10,88.44,8.0,2023-04-13
Product_14,Region_2,23.22,9.0,2023-04-14
Product_45,Region_5,87.66,7.0,2023-04-15
Product_4,Region_5,110.3,15.0,2023-04-16
Product_30,Region_7,191.23,,2023-04-17
Product_31,Region_8,59.18,11.0,2023-04-18
Product_14,Region_5,206.35,,2023-04-19
Product_23,,173.06,3.0,2023-04-20
Product_37,Region_5,8.46,12.0,2023-04-21
Product_8,Region_6,19.78,12.0,2023-04-22
Product_21,Region_9,159.53,9.0,2023-04-23
Product_7,Region_2,7.35,12.0,2023-04-24
Product_38,Region_9,22.62,11.0,2023-04-25
Product_7,Region_4,64.19,10.0,2023-04-26
,Region_6,28.48,12.0,2023-04-27
Product_33,,130.85,7.0,2023-04-28
Product_5,Region_6,37.05,11.0,2023-04-29
Product_28,,38.06,7.0,2023-04-30
Product_23,Region_3,7.08,9.0,2023-05-01
,Region_2,0.58,8.0,2023-05-02
Product_5,Region_6,27.94,13.0,2023-05-03
Product_2,Region_4,347.2,,2023-05-04
Product_8,Region_8,231.91,7.0,2023-05-05
Product_1,,213.26,12.0,2023-05-06
Product_16,Region_5,11.74,11.0,2023-05-07
,Region_9,21.35,7.0,2023-05-08
Product_32,Region_8,2.16,7.0,2023-05-09
,Region_10,134.96,5.0,2023-05-10
Product_45,Region_10,25.57,10.0,2023-05-11
Product_19,Region_2,290.76,8.0,2023-05-12
Product_39,Region_3,22.56,9.0,2023-05-13
Product_8,Region_7,90.21,9.0,2023-05-14
Product_27,Region_4,,11.0,2023-05-15
Product_40,Region_6,426.02,,2023-05-16
Product_40,Region_8,92.7,,2023-05-17
Product_18,Region_6,181.22,12.0,2023-05-18
Product_1,,32.91,11.0,2023-05-19
Product_27,Region_3,29.21,11.0,2023-05-20
Product_16,Region_1,0.96,11.0,2023-05-21
,Region_2,108.89,7.0,2023-05-22
Product_35,Region_9,61.5,9.0,2023-05-23
Product_5,Region_6,31.66,7.0,2023-05-24
Product_5,Region_4,27.37,7.0,2023-05-25
Product_15,Region_5,,12.0,2023-05-26
Product_48,Region_6,193.97,7.0,2023-05-27
Product_19,Region_3,48.83,14.0,2023-05-28
Product_46,Region_2,104.48,11.0,2023-05-29
Product_45,Region_5,74.98,,2023-05-30
Product_20,Region_1,12.25,12.0,2023-05-31
,Region_9,8.7,12.0,2023-06-01
Product_45,,,11.0,2023-06-02
Product_37,Region_8,106.98,11.0,2023-06-03
Product_42,Region_10,72.43,11.0,2023-06-04
,Region_9,193.84,11.0,2023-06-05
Product_12,Region_9,100.93,12.0,2023-06-06
Product_13,Region_9,,9.0,2023-06-07
Product_18,Region_7,,7.0,2023-06-08
